Athlete_Comp_ID,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Score_Metric,Finish_Rank
OAKLEY KC - USA - World Cup 2 - 2015 - Final 2,OAKLEY KC - USA,Women,32.0,USA,17.6,17.7,17.3,17.4,16.8,8.0,8.3,0,0,0,0,-1.0,3.0,0.0,2015,2015-World Cup 2,Final 2,82.53,1
NAUDE Andi - CAN - World Cup 1 - 2015 - Final 1,NAUDE Andi - CAN,Women,24.0,CAN,17.5,15.0,16.1,15.6,15.7,7.4,6.8,1,0,1,0,-20.0,-21.0,1.1,2015,2015-World Cup 1,Final 1,76.92,5
SUDOVA Nikola - CZE - World Cup 3 - 2015 - Final 1,SUDOVA Nikola - CZE,Women,38.0,CZE,17.2,16.8,16.8,17.2,17.3,6.8,6.6,1,0,1,0,-2.0,-1.0,0.0,2015,2015-World Cup 3,Final 1,79.07,5
GAGNON Alex Anne - CAN - World Cup 4 - 2015 - Final 1,GAGNON Alex Anne - CAN,Women,25.0,CAN,13.7,14.8,11.9,13.6,13.4,7.7,7.0,0,0,0,0,-5.0,-17.0,0.0,2015,2015-World Cup 4,Final 1,68.61,11
GALYSHEVA Yulia - KAZ - World Championships - 2015 - Final 2,GALYSHEVA Yulia - KAZ,Women,28.0,KAZ,16.8,15.4,15.4,17.2,16.8,8.0,7.7,1,1,1,1,-2.0,4.0,1.2,2015,2015-World Championships,Final 2,79.3,5
KEARNEY Hannah - USA - World Cup 5 - 2015 - Final 2,KEARNEY Hannah - USA,Women,34.0,USA,14.6,14.3,15.8,16.5,14.0,9.4,9.0,1,1,1,1,0.0,1.0,0.5,2015,2015-World Cup 5,Final 2,79.12,1
NAUDE Andi - CAN - World Cup 1 - 2015 - Final 2,NAUDE Andi - CAN,Women,24.0,CAN,16.1,16.8,16.1,16.0,17.1,8.2,7.8,1,0,1,0,-20.0,-21.0,1.1,2015,2015-World Cup 1,Final 2,79.12,4
SUDOVA Nikola - CZE - World Cup 2 - 2015 - Final 1,SUDOVA Nikola - CZE,Women,38.0,CZE,17.6,17.0,17.0,17.4,16.8,8.0,7.6,1,0,1,0,-1.0,3.0,0.0,2015,2015-World Cup 2,Final 1,77.33,4
KEARNEY Hannah - USA - World Cup 5 - 2015 - Final 1,KEARNEY Hannah - USA,Women,34.0,USA,16.2,17.8,17.9,17.5,17.5,9.7,8.9,1,1,1,1,0.0,1.0,0.5,2015,2015-World Cup 5,Final 1,86.58,1
DUFOUR LAPOINTE Justine - CAN - World Cup 3 - 2015 - Final 1,DUFOUR LAPOINTE Justine - CAN,Women,26.0,CAN,18.0,17.9,18.0,17.5,17.8,8.2,8.2,1,1,1,1,-2.0,-1.0,0.0,2015,2015-World Cup 3,Final 1,86.33,1
